timestamp,subcarrier_index,I,Q,magnitude,phase
0.1111,21,-10,-7,12.207,-145.01
0.1111,22,-10,-2,10.198,-168.69
0.1111,23,-12,2,12.166,170.54
0.1111,24,-14,7,15.652,153.43
0.1111,25,-14,8,16.125,150.26
0.1111,26,-16,0,16.0,180.0
0.1111,27,0,0,0.0,0.0
0.1111,28,0,0,0.0,0.0
0.1111,29,0,0,0.0,0.0
0.1111,30,0,0,0.0,0.0
0.1111,31,0,0,0.0,0.0
0.1111,32,0,0,0.0,0.0
0.1111,33,0,0,0.0,0.0
0.1111,34,0,0,0.0,0.0
0.1111,35,0,0,0.0,0.0
0.1111,36,0,0,0.0,0.0
0.1111,37,0,7,7.0,90.0
0.1111,38,4,4,5.657,45.0
0.1111,39,9,2,9.22,12.53
0.1111,40,13,0,13.0,0.0
0.1111,41,17,-2,17.117,-6.71
0.1111,42,23,-3,23.195,-7.43
0.1111,43,28,-3,28.16,-6.12
0.1111,44,33,-1,33.015,-1.74
0.1111,45,38,-1,38.013,-1.51
0.1111,46,41,0,41.0,0.0
0.1111,47,43,3,43.105,3.99
0.1111,48,43,4,43.186,5.31
0.1111,49,43,7,43.566,9.25
0.1111,50,40,8,40.792,11.31
0.1111,51,36,9,37.108,14.04
0.1111,52,30,9,31.321,16.7
0.1111,53,23,6,23.77,14.62
0.1111,54,17,3,17.263,10.01
0.1111,55,11,-3,11.402,-15.26
0.1111,56,7,-7,9.899,-45.0
0.1111,57,1,-13,13.038,-85.6
0.1111,58,0,-19,19.0,-90.0
0.1111,59,-1,-25,25.02,-92.29
0.1111,60,-2,-30,30.067,-93.81
0.1111,61,0,-33,33.0,-90.0
0.1111,62,1,-35,35.014,-88.36
0.2027,0,-32,12,34.176,159.44
0.2027,1,0,19,19.0,90.0
0.2027,2,-26,16,30.529,148.39
0.2027,3,-25,13,28.178,152.53
0.2027,4,-21,13,24.698,148.24
0.2027,5,-20,15,25.0,143.13
0.2027,6,-17,17,24.042,135.0
0.2027,7,-15,16,21.932,133.15
0.2027,8,-13,17,21.401,127.41
0.2027,9,-10,20,22.361,116.57
0.2027,10,-12,20,23.324,120.96
0.2027,11,-10,25,26.926,111.8
0.2027,12,-10,24,26.0,112.62
0.2027,13,-8,26,27.203,107.1
0.2027,14,-10,26,27.857,111.04
0.2027,15,-8,26,27.203,107.1
0.2027,16,-9,22,23.77,112.25
0.2027,17,-9,22,23.77,112.25
0.2027,18,-8,16,17.889,116.57
0.2027,19,-6,15,16.155,111.8
0.2027,20,-4,11,11.705,109.98
0.2027,21,0,9,9.0,90.0
0.2027,22,3,7,7.616,66.8
0.2027,23,7,5,8.602,35.54
