timestamp,subcarrier_index,magnitude
57.5095,43,18.4391
57.5095,44,19.2094
57.5095,45,19.2094
57.5095,46,20.6155
57.5095,47,21.4009
57.5095,48,21.4009
57.5095,49,22.2036
57.5095,50,22.2036
57.5095,51,22.2036
57.5095,52,22.2036
57.5095,53,22.2036
57.5095,54,22.8035
57.5095,55,23.6008
57.5095,56,23.6008
57.5095,57,23.4307
57.5095,58,23.4307
57.5095,59,23.4307
57.5095,60,24.8395
57.5095,61,24.0832
57.5095,62,24.0832
57.5095,63,23.4307
57.6619,0,99.2975
57.6619,1,5.0
57.6619,2,15.5242
57.6619,3,18.0278
57.6619,4,19.6977
57.6619,5,21.9317
57.6619,6,24.1661
57.6619,7,25.0799
57.6619,8,24.6982
57.6619,9,24.3516
57.6619,10,23.0868
57.6619,11,20.8806
57.6619,12,18.9737
57.6619,13,15.8114
57.6619,14,15.2315
57.6619,15,13.8924
57.6619,16,12.8062
57.6619,17,12.8062
57.6619,18,13.0384
57.6619,19,14.7648
57.6619,20,14.7648
57.6619,21,15.6525
57.6619,22,15.6525
57.6619,23,15.6525
57.6619,24,15.6525
57.6619,25,16.1245
57.6619,26,15.2643
57.6619,27,0.0
57.6619,28,0.0
57.6619,29,0.0
57.6619,30,0.0
57.6619,31,0.0
57.6619,32,0.0
57.6619,33,0.0
57.6619,34,0.0
57.6619,35,0.0
57.6619,36,0.0
57.6619,37,0.0
57.6619,38,19.8494
57.6619,39,20.8087
57.6619,40,21.9545
57.6619,41,22.8473
57.6619,42,23.4094
57.6619,43,22.8035
57.6619,44,20.3961
57.6619,45,18.2483
57.6619,46,16.2788
57.6619,47,14.5602
57.6619,48,12.53
57.6619,49,12.0416
57.6619,50,14.4222
57.6619,51,17.8885
57.6619,52,20.6155
57.6619,53,22.8473
57.6619,54,25.4951
57.6619,55,26.8328
57.6619,56,28.6531
57.6619,57,28.8444
57.6619,58,27.2029
57.6619,59,25.807
57.6619,60,23.6008
57.6619,61,21.4009
57.6619,62,18.0278
57.6619,63,15.2315
60.496,0,69.857
60.496,1,1.0
60.496,2,26.9258
60.496,3,26.9258
60.496,4,26.0768
60.496,5,26.0768
60.496,6,25.9422
60.496,7,24.5967
60.496,8,24.5967
60.496,9,24.1661
60.496,10,23.7697
60.496,11,24.3516
60.496,12,24.3516
60.496,13,24.3516
60.496,14,24.0416
60.496,15,24.0416
60.496,16,24.3516
60.496,17,24.0416
60.496,18,24.3516
60.496,19,23.4094
60.496,20,23.4094
60.496,21,22.4722
60.496,22,21.9317
60.496,23,21.4709
60.496,24,21.9545
60.496,25,20.2485
60.496,26,20.0
60.496,27,0.0
60.496,28,0.0
60.496,29,0.0
60.496,30,0.0
60.496,31,0.0
60.496,32,0.0
60.496,33,0.0
60.496,34,0.0
60.496,35,0.0
60.496,36,0.0
60.496,37,0.0
60.496,38,12.1655
60.496,39,12.3693
60.496,40,13.6015
60.496,41,13.9284
60.496,42,15.2315
60.496,43,16.1245
60.496,44,17.0
60.496,45,17.4929
60.496,46,18.0278
60.496,47,18.6011
60.496,48,20.6155
60.496,49,20.6155
60.496,50,21.2603
60.496,51,21.2603
60.496,52,20.6155
60.496,53,22.0227
60.496,54,21.2603
60.496,55,22.0227
60.496,56,22.8035
60.496,57,23.0217
60.496,58,23.8537
60.496,59,23.8537
60.496,60,24.4131
60.496,61,26.0768
60.496,62,26.9258
60.496,63,26.6271
60.5286,0,69.857
60.5286,1,1.0
60.5286,2,25.4951
60.5286,3,26.1725
60.5286,4,24.7588
60.5286,5,24.8395
60.5286,6,24.0832
60.5286,7,24.0832
60.5286,8,23.4307
60.5286,9,23.4307
60.5286,10,22.2036
60.5286,11,23.8537
60.5286,12,21.9545
60.5286,13,22.4722
60.5286,14,24.1868
60.5286,15,22.4722
60.5286,16,23.8537
60.5286,17,22.4722
60.5286,18,23.8537
60.5286,19,22.2036
60.5286,20,21.4009
60.5286,21,21.4009
60.5286,22,19.8494
60.5286,23,20.6155
60.5286,24,19.8494
60.5286,25,19.799
60.5286,26,19.8494
60.5286,27,0.0
60.5286,28,0.0
60.5286,29,0.0
60.5286,30,0.0
60.5286,31,0.0
60.5286,32,0.0
60.5286,33,0.0
60.5286,34,0.0
60.5286,35,0.0
60.5286,36,0.0
60.5286,37,0.0
60.5286,38,10.4403
60.5286,39,12.083
60.5286,40,12.53
60.5286,41,13.8924
60.5286,42,13.8924
60.5286,43,15.0
60.5286,44,16.2788
60.5286,45,16.2788
60.5286,46,17.6918
60.5286,47,18.3848
60.5286,48,19.105
60.5286,49,19.105
60.5286,50,19.8494
60.5286,51,19.8494
60.5286,52,20.6155
60.5286,53,20.6155
60.5286,54,21.4009
60.5286,55,20.0
60.5286,56,22.6716
60.5286,57,21.9317
60.5286,58,22.6274
60.5286,59,22.6274
60.5286,60,23.3452
60.5286,61,25.4951
60.5286,62,25.4951
60.5286,63,26.1725
60.5583,0,69.857
60.5583,1,1.0
60.5583,2,25.0799
60.5583,3,24.6982
60.5583,4,24.6982
60.5583,5,24.3516
60.5583,6,23.4094
60.5583,7,23.0868
60.5583,8,23.7697
60.5583,9,21.587
60.5583,10,22.3607
60.5583,11,23.1948
60.5583,12,21.2132
60.5583,13,22.2036
60.5583,14,23.1948
60.5583,15,22.2036
60.5583,16,23.0868
60.5583,17,23.1948
60.5583,18,23.1948
60.5583,19,22.3607
60.5583,20,21.3776
60.5583,21,21.3776
60.5583,22,19.4165
60.5583,23,19.6469
60.5583,24,19.9249
60.5583,25,18.9737
60.5583,26,18.3848
60.5583,27,0.0
60.5583,28,0.0
60.5583,29,0.0
60.5583,30,0.0
60.5583,31,0.0
60.5583,32,0.0
60.5583,33,0.0
60.5583,34,0.0
60.5583,35,0.0
60.5583,36,0.0
60.5583,37,0.0
60.5583,38,11.0
60.5583,39,12.0416
60.5583,40,12.0416
60.5583,41,13.1529
60.5583,42,13.3417
60.5583,43,14.5602
60.5583,44,15.2315
60.5583,45,16.1555
60.5583,46,16.5529
60.5583,47,17.0
60.5583,48,18.868
60.5583,49,18.868
60.5583,50,19.7231
60.5583,51,18.868
60.5583,52,18.868
60.5583,53,19.7231
60.5583,54,19.7231
60.5583,55,19.7231
60.5583,56,21.4709
