model,train_env,test_env,type,accuracy,f1,train_s,infer_ms_per_sample,n_train,n_test
GradBoost 200,nofoil,open,CROSS,0.9764705882352941,0.9764575543553526,0.17519903182983398,0.0023358008440803077,510,340
GradBoost 200,foil,nofoil,CROSS,0.9235294117647059,0.9233596892772924,0.16832304000854492,0.002570012036491843,488,340
GradBoost 200,foil,foil,INTRA,0.8470588235294118,0.8465277777777778,0.16832304000854492,0.0026857151704676014,488,340
GradBoost 200,foil,open,CROSS,0.9823529411764705,0.9823504983388702,0.16832304000854492,0.0022481469547047336,488,340
GradBoost 200,open,nofoil,CROSS,0.9382352941176471,0.9380804953560371,0.11861968040466309,0.0019304892596076519,510,340
GradBoost 200,open,foil,CROSS,0.8970588235294118,0.8969509607807481,0.11861968040466309,0.001725028542911305,510,340
GradBoost 200,open,open,INTRA,1.0,1.0,0.11861968040466309,0.001680149751551011,510,340
1D-CNN,nofoil,nofoil,INTRA,0.959375,0.9593078420439983,6.470534563064575,0.39354339241981506,480,320
1D-CNN,nofoil,foil,CROSS,0.8875,0.8870588235294118,6.470534563064575,0.23681223392486572,480,320
1D-CNN,nofoil,open,CROSS,1.0,1.0,6.470534563064575,0.23651272058486938,480,320
1D-CNN,foil,nofoil,CROSS,0.959375,0.9593078420439983,3.4831459522247314,0.3878958523273468,459,320
1D-CNN,foil,foil,INTRA,0.89375,0.8934837092731829,3.4831459522247314,0.24771094322204587,459,320
1D-CNN,foil,open,CROSS,1.0,1.0,3.4831459522247314,0.22416934370994568,459,320
1D-CNN,open,nofoil,CROSS,0.9625,0.962447191362854,6.3332295417785645,0.3966778516769409,480,320
1D-CNN,open,foil,CROSS,0.884375,0.8838748908875136,6.3332295417785645,0.2487212419509888,480,320
1D-CNN,open,open,INTRA,1.0,1.0,6.3332295417785645,0.23352950811386108,480,320
