timestamp,subcarrier_index,I,Q,magnitude,phase_deg
727.619243,54,1,1,1.414,45.0
727.619243,55,1,0,1.0,0.0
727.619243,56,1,-1,1.414,-45.0
727.619243,57,0,-2,2.0,-90.0
727.619243,58,-2,-3,3.606,-123.69
727.619243,59,-3,-4,5.0,-126.87
727.619243,60,-3,-5,5.831,-120.964
727.619243,61,-3,-6,6.708,-116.565
727.619243,62,-4,-6,7.211,-123.69
727.619243,63,-6,-4,7.211,-146.31
727.677421,0,0,0,0.0,0.0
727.677421,1,1,-6,6.083,-80.538
727.677421,2,1,-7,7.071,-81.87
727.677421,3,1,-8,8.062,-82.875
727.677421,4,0,-9,9.0,-90.0
727.677421,5,-1,-9,9.055,-96.34
727.677421,6,-2,-11,11.18,-100.305
727.677421,7,-4,-12,12.649,-108.435
727.677421,8,-5,-11,12.083,-114.444
727.677421,9,-5,-9,10.296,-119.055
727.677421,10,-7,-8,10.63,-131.186
727.677421,11,-8,-9,12.042,-131.634
727.677421,12,-8,-12,14.422,-123.69
727.677421,13,-9,-14,16.643,-122.735
727.677421,14,-10,-14,17.205,-125.538
727.677421,15,-12,-15,19.209,-128.66
727.677421,16,-13,-16,20.616,-129.094
727.677421,17,-14,-16,21.26,-131.186
727.677421,18,-13,-16,20.616,-129.094
727.677421,19,-14,-16,21.26,-131.186
727.677421,20,-15,-16,21.932,-133.152
727.677421,21,-13,-17,21.401,-127.405
727.677421,22,-11,-19,21.954,-120.069
727.677421,23,-10,-19,21.471,-117.759
727.677421,24,-9,-17,19.235,-117.897
727.677421,25,-9,-15,17.493,-120.964
727.677421,26,-9,-15,17.493,-120.964
727.677421,27,0,0,0.0,0.0
727.677421,28,0,0,0.0,0.0
727.677421,29,0,0,0.0,0.0
727.677421,30,0,0,0.0,0.0
727.677421,31,0,0,0.0,0.0
727.677421,32,0,0,0.0,0.0
727.677421,33,0,0,0.0,0.0
727.677421,34,0,0,0.0,0.0
727.677421,35,0,0,0.0,0.0
727.677421,36,0,0,0.0,0.0
727.677421,37,0,0,0.0,0.0
727.677421,38,-9,10,13.454,131.987
727.677421,39,-8,10,12.806,128.66
